iter	Passed	Remaining
0	20	20844
1	37	18666
2	53	17789
3	68	17128
4	80	16018
5	96	15980
6	112	15970
7	127	15753
8	139	15324
9	155	15442
10	172	15466
11	185	15258
12	197	15002
13	213	15066
14	228	15026
15	241	14878
16	255	14801
17	271	14835
18	287	14842
19	302	14804
20	315	14702
21	330	14713
22	350	14868
23	367	14956
24	385	15040
25	415	15546
26	433	15613
27	450	15639
28	465	15581
29	477	15424
30	492	15382
31	506	15334
32	519	15231
33	533	15164
34	549	15137
35	564	15104
36	574	14962
37	590	14948
38	605	14919
39	617	14831
40	631	14761
41	646	14744
42	660	14694
43	671	14599
44	688	14615
45	703	14583
46	716	14527
47	729	14477
48	745	14477
49	760	14441
50	771	14358
51	787	14356
52	801	14324
53	812	14241
54	829	14250
55	844	14232
56	858	14195
57	871	14157
58	887	14156
59	902	14133
60	915	14088
61	928	14041
62	943	14028
63	957	13998
64	969	13950
65	985	13949
66	1000	13932
67	1017	13947
68	1029	13890
69	1045	13887
70	1061	13887
71	1073	13834
72	1087	13810
73	1103	13809
74	1122	13843
75	1136	13819
76	1147	13760
77	1164	13759
78	1179	13753
79	1191	13698
80	1205	13673
81	1220	13666
82	1236	13661
83	1253	13673
84	1273	13709
85	1293	13747
86	1307	13721
87	1324	13722
88	1342	13736
89	1360	13758
90	1379	13775
91	1395	13770
92	1414	13794
93	1437	13855
94	1458	13894
95	1479	13934
96	1502	13989
97	1522	14010
98	1541	14031
99	1560	14048
100	1579	14056
101	1597	14063
102	1615	14067
103	1633	14073
104	1654	14099
105	1670	14088
106	1688	14087
107	1703	14073
108	1730	14145
109	1747	14138
110	1769	14173
111	1787	14173
112	1803	14156
113	1822	14163
114	1840	14161
115	1858	14160
116	1875	14157
117	1892	14146
118	1910	14142
119	1927	14138
120	1942	14108
121	1961	14115
122	1979	14115
123	1998	14115
124	2017	14120
125	2037	14133
126	2056	14133
127	2072	14120
128	2089	14110
129	2106	14097
130	2123	14089
131	2139	14071
132	2157	14062
133	2174	14051
134	2191	14041
135	2207	14021
136	2225	14019
137	2244	14017
138	2264	14024
139	2282	14020
140	2298	14003
141	2316	13994
142	2335	13996
143	2353	13990
144	2371	13983
145	2388	13969
146	2407	13967
147	2425	13961
148	2444	13960
149	2461	13945
150	2477	13927
151	2494	13919
152	2513	13914
153	2530	13904
154	2545	13876
155	2559	13849
156	2573	13815
157	2589	13798
158	2604	13777
159	2618	13747
160	2632	13716
161	2647	13696
162	2662	13672
163	2674	13633
164	2690	13613
165	2706	13597
166	2720	13568
167	2732	13531
168	2747	13508
169	2761	13480
170	2775	13454
171	2789	13428
172	2804	13406
173	2819	13382
174	2830	13343
175	2847	13332
176	2861	13304
177	2872	13264
178	2888	13247
179	2902	13223
180	2915	13191
181	2928	13161
182	2943	13143
183	2958	13119
184	2969	13083
185	2985	13066
186	3000	13042
187	3016	13029
188	3029	13000
189	3046	12986
190	3060	12963
191	3073	12935
192	3087	12907
193	3103	12894
194	3117	12870
195	3129	12837
196	3144	12816
197	3159	12796
198	3175	12781
199	3188	12754
200	3204	12739
201	3221	12726
202	3237	12708
203	3249	12680
204	3264	12658
205	3280	12643
206	3295	12625
207	3307	12595
208	3323	12578
209	3339	12563
210	3353	12539
211	3365	12510
212	3381	12495
213	3397	12479
214	3411	12454
215	3424	12428
216	3440	12412
217	3455	12395
218	3468	12369
219	3482	12346
220	3496	12325
221	3511	12304
222	3523	12277
223	3540	12265
224	3555	12245
225	3567	12219
226	3581	12196
227	3597	12181
228	3611	12160
229	3623	12131
230	3639	12117
231	3655	12100
232	3669	12078
233	3682	12054
234	3698	12039
235	3712	12018
236	3724	11992
237	3738	11970
238	3752	11949
239	3767	11930
240	3779	11903
241	3795	11888
242	3811	11872
243	3829	11864
244	3843	11845
245	3858	11825
246	3872	11806
247	3887	11787
248	3899	11761
249	3915	11746
250	3929	11726
251	3942	11700
252	3957	11683
253	3971	11665
254	3986	11647
255	3998	11621
256	4016	11611
257	4033	11599
258	4048	11581
259	4059	11553
260	4074	11537
261	4091	11523
262	4106	11507
263	4117	11480
264	4133	11464
265	4148	11447
266	4160	11422
267	4174	11403
268	4191	11389
269	4206	11371
270	4217	11346
271	4234	11333
272	4249	11316
273	4265	11301
274	4279	11281
275	4292	11261
276	4309	11248
277	4324	11231
278	4339	11213
279	4354	11197
280	4370	11183
281	4385	11166
282	4400	11148
283	4413	11126
284	4430	11116
285	4447	11102
286	4462	11086
287	4476	11067
288	4490	11048
289	4506	11032
290	4519	11012
291	4532	10989
292	4548	10975
293	4563	10957
294	4576	10936
295	4590	10917
296	4605	10901
297	4619	10881
298	4631	10859
299	4647	10843
300	4662	10827
301	4675	10806
302	4690	10790
303	4708	10779
304	4723	10763
305	4738	10747
306	4754	10733
307	4769	10716
308	4786	10704
309	4799	10682
310	4814	10666
311	4828	10648
312	4844	10633
313	4857	10611
314	4871	10594
315	4886	10577
316	4899	10555
317	4915	10541
318	4929	10523
319	4942	10502
320	4956	10484
321	4971	10467
322	4985	10448
323	4998	10428
324	5014	10414
325	5029	10399
326	5044	10381
327	5056	10360
328	5072	10344
329	5087	10329
330	5103	10315
331	5116	10294
332	5131	10277
333	5144	10258
334	5157	10238
335	5172	10221
336	5186	10203
337	5200	10185
338	5213	10166
339	5228	10149
340	5244	10134
341	5255	10112
342	5271	10097
343	5288	10084
344	5304	10071
345	5319	10054
346	5338	10046
347	5357	10036
348	5372	10021
349	5387	10005
350	5404	9992
351	5422	9981
352	5440	9972
353	5460	9964
354	5477	9951
355	5496	9942
356	5512	9928
357	5530	9918
358	5547	9905
359	5562	9888
360	5580	9878
361	5601	9872
362	5619	9861
363	5637	9850
364	5654	9838
365	5669	9820
366	5683	9802
