iter	Logloss
0	0.6017735705
1	0.5328472396
2	0.4817669246
3	0.4466632008
4	0.4192637181
5	0.3992863601
6	0.3844415411
7	0.3736429996
8	0.3653987911
9	0.3589262604
10	0.3540233036
11	0.350085181
12	0.3471062316
13	0.345180036
14	0.3433773157
15	0.3418357106
16	0.3405260016
17	0.3395689264
18	0.3382369687
19	0.3372301163
20	0.3367436969
21	0.3362055561
22	0.3358679801
23	0.335517803
24	0.3353059935
25	0.3349645477
26	0.334631878
27	0.334407868
28	0.3342117633
29	0.3340440358
30	0.3336810454
31	0.3335616199
32	0.333333104
33	0.3331758272
34	0.333039581
35	0.332924125
36	0.3328097229
37	0.3326371229
38	0.3323599408
39	0.3322539724
40	0.3321517718
41	0.3320582776
42	0.3319709327
43	0.3318094306
44	0.3317237862
45	0.3315791383
46	0.3314908497
47	0.3313342451
48	0.3312697824
49	0.3312058372
50	0.3307154147
51	0.3306342638
52	0.3304248618
53	0.3303336807
54	0.3302609151
55	0.3301161682
56	0.3300081614
57	0.3299215856
58	0.3298415137
59	0.3297581954
60	0.3296339548
61	0.3295849741
62	0.3295424819
63	0.3294102497
64	0.3293362029
65	0.3292394148
66	0.3291778112
67	0.3291016834
68	0.3290396404
69	0.3289684142
70	0.3289044028
71	0.328866316
72	0.3287627984
73	0.3287016175
74	0.3286222638
75	0.3285778705
76	0.3285176517
77	0.3284598379
78	0.32839886
79	0.3283440733
80	0.328281475
81	0.3281729803
82	0.3278907702
83	0.3278175306
84	0.3277350682
85	0.3276758175
86	0.3276385781
87	0.3275582499
88	0.3274695374
89	0.3274002711
90	0.3273225393
91	0.3272908159
92	0.3272317256
93	0.3271589348
94	0.3271123751
95	0.327020148
96	0.3269622206
97	0.3269001988
98	0.3267767916
99	0.3267154324
100	0.3266107009
101	0.3265607009
102	0.3264453249
103	0.3263048009
104	0.3262658693
105	0.3261784738
106	0.3261047063
107	0.3260439029
108	0.3259994447
109	0.325916799
110	0.3258537243
111	0.3257641164
112	0.3256637227
113	0.3255691811
114	0.3255461806
115	0.3254857917
116	0.3254256478
117	0.325225226
118	0.3251638348
119	0.3250755726
120	0.3250492726
121	0.3249768986
122	0.3248651125
123	0.3248116372
124	0.3247392356
125	0.3246899463
126	0.3246095112
127	0.3245624447
128	0.3244896317
129	0.3243968954
130	0.324352288
131	0.3243028257
132	0.3242694544
133	0.3241975558
134	0.3240951357
135	0.3240312736
136	0.3239462388
137	0.3238422686
138	0.3238074031
139	0.3237629788
140	0.3236315965
141	0.3235228693
142	0.3234133138
143	0.3233398491
144	0.3232863269
145	0.3232002117
146	0.3231281869
147	0.3230434562
148	0.3229783966
149	0.3229274861
150	0.3228762027
151	0.3228346713
152	0.3227733513
153	0.3227100026
154	0.3225976754
155	0.3225184084
156	0.3224400358
157	0.3223543448
158	0.3222917938
159	0.3222238295
160	0.3221706895
161	0.3220770265
162	0.321980298
163	0.3219217899
164	0.3218916712
165	0.321798292
166	0.3217260965
167	0.3216943359
168	0.3216201986
169	0.3215443599
170	0.3214991669
171	0.3214185326
172	0.3213373257
173	0.3212553042
174	0.3212007968
175	0.3211716487
176	0.321110113
177	0.3210782393
178	0.3210070123
179	0.3209179219
180	0.3208839862
181	0.3208350673
182	0.3207499024
183	0.3207243514
184	0.3206847489
185	0.3206223426
186	0.3205188176
187	0.3204203658
188	0.3203750288
189	0.3202834473
190	0.3202474975
191	0.320176752
192	0.3201365179
193	0.3201097807
194	0.3200681804
195	0.3200158672
196	0.3197556309
