iter	Passed	Remaining
0	21	2105
1	31	1530
2	43	1395
3	53	1273
4	66	1260
5	76	1200
6	87	1155
7	97	1123
8	110	1116
9	123	1111
10	132	1073
11	144	1061
12	154	1032
13	165	1019
14	178	1009
15	187	984
16	195	956
17	204	933
18	214	913
19	223	893
20	231	872
21	242	859
22	250	840
23	262	831
24	270	812
25	280	799
26	288	780
27	299	770
28	308	756
29	319	745
30	327	729
31	337	717
32	345	702
33	356	691
34	365	679
35	375	667
36	382	651
37	390	636
38	400	626
39	409	614
40	423	609
41	433	598
42	441	584
43	449	572
44	460	562
45	467	548
46	476	537
47	485	525
48	496	516
49	506	506
50	516	496
51	524	484
52	534	473
53	541	461
54	557	455
55	565	444
56	574	433
57	581	421
58	589	409
59	600	400
60	611	391
61	618	379
62	626	367
63	635	357
64	648	349
65	656	338
66	665	327
67	678	319
68	689	309
69	699	299
70	709	289
71	717	279
72	730	270
73	740	260
74	750	250
75	758	239
76	769	229
77	779	219
78	788	209
79	796	199
80	805	189
81	813	178
82	823	168
83	831	158
84	840	148
85	849	138
86	858	128
87	868	118
88	877	108
89	886	98
90	894	88
91	903	78
92	912	68
93	923	58
94	932	49
95	940	39
96	949	29
97	956	19
98	966	9
99	974	0
